divergence_threshold,divergence_lookback_days,pval_threshold,Sharpe_Ratio
0.09,7.0,0.035,-1.1226
0.11,3.0,0.02,0.3055
0.05,7.0,0.035,-1.0801
0.12000000000000001,3.0,0.04,-0.1596
0.14,4.0,0.02,-1.9095
0.07,4.0,0.03,-1.6754
0.09,4.0,0.035,-1.6572
0.060000000000000005,4.0,0.025,-1.7199
0.1,6.0,0.02,-0.9547
0.1,5.0,0.02,-1.6938
0.15,3.0,0.025,0.3058
0.15,3.0,0.025,0.3058
0.15,3.0,0.025,0.3058
0.13,5.0,0.025,-1.703
0.15,3.0,0.03,0.1024
0.13,3.0,0.025,0.3298
0.13,5.0,0.03,-1.5813
0.13,6.0,0.025,-0.948
0.12000000000000001,4.0,0.025,-1.9319
0.14,3.0,0.03,0.126
