pair_hxy_threshold,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.3,0.2781,0.1419,8.18,11.54,1.3926,0.5887
0.32,1.6242,1.1653,5.91,21.15,3.2394,5.6381
0.34,2.1751,2.2441,5.91,28.85,3.6684,10.7683
0.36,2.1585,2.077,11.88,32.69,3.2096,5.0674
0.38,1.8599,1.5716,12.96,40.38,2.4543,3.4186
0.4,1.1256,0.893,15.06,44.23,1.6929,2.1124
0.42,1.0431,0.9043,16.14,42.31,1.6062,1.7233
0.44,0.7973,0.6274,17.55,51.92,1.4192,1.3265
0.46,1.1916,1.0071,13.88,51.92,1.6614,2.4499
0.48,0.5384,0.4075,20.79,55.77,1.2707,0.6901
0.5,1.0459,1.3277,22.82,55.77,1.7261,2.2142
0.52,1.1461,1.4128,24.0,57.69,1.8063,2.406
