threshold_alpha,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.05,0.7926,0.6785,12.82,19.23,2.2623,1.709
0.07,0.1905,0.167,30.34,26.92,1.1708,0.1087
0.09,-0.1271,-0.0965,27.14,34.62,0.9798,-0.1304
0.11,-0.832,-0.6695,27.82,34.62,0.7055,-0.66
0.13,-0.8097,-0.6439,24.08,42.31,0.7262,-0.7419
0.15,-0.4373,-0.3691,22.08,46.15,0.8715,-0.4114
0.17,-0.5392,-0.4529,21.61,48.08,0.8409,-0.4775
0.19,-0.5696,-0.4743,19.91,48.08,0.8286,-0.5237
0.21,-0.7439,-0.6156,22.09,46.15,0.7732,-0.5718
0.23,-0.4543,-0.3796,19.69,50.0,0.8721,-0.3773
0.25,-0.5799,-0.4736,19.31,50.0,0.829,-0.4971
0.27,-0.548,-0.4646,17.32,48.08,0.8415,-0.4712
