threshold_h,threshold_alpha,pair_hxy_threshold,divergence_threshold,divergence_lookback_days,Sharpe_Ratio
0.13,0.25,0.45999999999999996,0.11,3.0,-1.6205
0.07,0.05,0.48,0.11,6.0,-1.045
0.05,0.25,0.48,0.07,3.0,-1.6014
0.09,0.11,0.4,0.09,4.0,0.7483
0.16999999999999998,0.07,0.36,0.09,5.0,-0.8646
0.21000000000000002,0.09,0.4,0.11,3.0,-0.2909
0.16999999999999998,0.07,0.3,0.15,7.0,-0.0738
0.21000000000000002,0.11,0.32,0.12000000000000001,5.0,-1.1525
0.07,0.15000000000000002,0.3,0.15,4.0,-1.6558
0.19,0.11,0.4,0.11,3.0,-1.0495
0.11,0.16999999999999998,0.44,0.05,5.0,0.0134
0.11,0.16999999999999998,0.44,0.05,5.0,0.0134
0.11,0.19,0.42,0.05,4.0,0.2425
0.25,0.21000000000000002,0.36,0.08,4.0,0.3272
0.25,0.21000000000000002,0.36,0.08,4.0,0.3272
0.25,0.13,0.36,0.07,4.0,-1.5302
0.15000000000000002,0.21000000000000002,0.38,0.09,6.0,-0.7123
0.09,0.21000000000000002,0.33999999999999997,0.13,4.0,-1.8695
0.22999999999999998,0.15000000000000002,0.38,0.07,6.0,-1.3864
0.15000000000000002,0.22999999999999998,0.4,0.09,4.0,-0.0086
