divergence_threshold,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.05,-0.1999,-0.0548,24.73,15.38,0.8718,-0.314
0.06,-0.0869,-0.0195,24.73,11.54,0.9827,-0.1891
0.07,-0.33,-0.0897,25.07,5.77,0.7237,-0.4301
0.08,1.2032,2.0637,1.36,5.77,10.617,12.8329
0.09,0.7483,1.0297,1.36,3.85,6.3699,6.868
0.1,0.7483,1.0297,1.36,3.85,6.3699,6.868
0.11,0.7483,1.0297,1.36,3.85,6.3699,6.868
0.12,0.5875,0.7987,1.8,1.92,5.4211,4.2028
0.13,0.5875,0.7987,1.8,1.92,5.4211,4.2028
0.14,0.7313,2.238,0.45,1.92,22.027,20.257
0.15,0.7774,0.0,0.0,1.92,inf,0.0
